Rivista,Web,ISSN,Dichiarato OA,Licenza,OA?,Formato ultimo fascicolo,Licenza per formato ultimo fascicolo,Note
Almatourism,https://almatourism.unibo.it/,2036-5195,sì,CC-BY,sì,PDF,PDF,
Annali Sismondi,https://annalisismondi.unibo.it/,2498-9886,sì,CC-BY-NC,no,PDF,PDF,
Antropologia e Teatro,https://antropologiaeteatro.unibo.it/,2039-2281,sì,CC-BY-NC-ND,no,PDF,,"La licenza specificata nelle pagine di presentazione dell'articolo è CC-BY, che è diversa da quella indicata nelle direttive del giornale (CC BY-NC-ND 4.0)"
Bibliothecae.it,https://bibliothecae.unibo.it/,2283-9364,sì,CC-BY-NC-ND,no,PDF,,
Bruno Pini Mathematical Analysis Seminar,https://mathematicalanalysis.unibo.it/,2240-2829,sì,CC-BY,sì,PDF,,
Cinergie,https://cinergie.unibo.it/,2280-9481,sì,CC-BY,sì,HTML e PDF,HTML e PDF,
CONFLUENZE,https://confluenze.unibo.it/,2036-0967,sì,CC-BY,sì,PDF,,
Conservation Science in Cultural Heritage,https://conservation-science.unibo.it/,1973-9494,sì,CC-BY,sì,PDF,,
Danza e ricerca,https://danzaericerca.unibo.it/,2036-1599,sì,CC-BY-NC,no,PDF,,
DISEGNARECON,https://disegnarecon.unibo.it/,1828-5961,sì,CC-BY-NC,no,PDF,PDF,
Encyclopaideia,https://encp.unibo.it/,1825-8670,sì,CC-BY,sì,HTML e PDF,HTML e PDF,
EQA,https://eqa.unibo.it/,2281-4485,sì,CC-BY-NC,no,PDF,,
European Journal of Creative Practices in Cities and Landscapes,https://cpcl.unibo.it/,2612-0496,sì,CC-BY,sì,HTML,HTML,
Figure,https://figure.unibo.it/,2283-9348,sì,CC-BY,sì,PDF,,
Governare la paura,https://governarelapaura.unibo.it/,1974-4935,sì,CC-BY-NC,no,PDF,,
Griseldaonline,https://griseldaonline.unibo.it/,1721-4777,sì,CC-BY-SA,sì,PDF,,
Histories of Postwar Architectures,https://hpa.unibo.it/,2611-0075,sì,CC-BY,sì,PDF,PDF,
I quaderni del m.æ.s. – Journal of Mediæ Ætatis Sodalicium,https://maes.unibo.it/,2533-2325,sì,CC-BY,sì,PDF,,
IN_BO,https://in_bo.unibo.it/,2036-1602,sì,CC-BY-NC,no,PDF,PDF,
INTRECCI d'arte,https://intreccidarte.unibo.it/,2240-7251,sì,CC-BY,sì,PDF,,
IpoTESI di Preistoria,https://ipotesidipreistoria.unibo.it/,ISSN 1974-7985,sì,CC-BY-NC,no,PDF,,
Italian Journal of Mycology,https://italianmycology.unibo.it/,2531-7342,sì,CC-BY-NC,no,PDF,PDF,"La licenza specificata nelle pagine di presentazione dell'articolo è CC-BY 4.0, che è diversa da quella indicata nelle direttive del giornale (CC BY-NC 3.0)"
Journal of Formalized Reasoning,https://jfr.unibo.it/,1972-5787,sì,CC-BY,sì,PDF,,
Labour and Law,https://labourlaw.unibo.it/,2421-2695,si,CC-BY,si,PDF,,
Montesquieu.it,https://montesquieu.unibo.it/,2421-4124,sì,CC-BY-NC-ND,no,PDF,,
Musica Docta,https://musicadocta.unibo.it/,2039-9715,sì,CC-BY-SA,sì,PDF,PDF,
piano b,https://pianob.unibo.it/,2531-9876,sì,CC-BY-SA-NC,no,PDF,PDF,
PsicoArt,https://psicoart.unibo.it/,2038-6184,sì,CC-BY,sì,HTML e PDF,HTML e PDF,
Puente@Europa,https://puenteeuropa.unibo.it/,1669-7146,sì,CC-BY,sì,PDF,,
Ricerche di Pedagogia e Didattica,https://rpd.unibo.it/,1970-2221,sì,CC-BY-NC-ND,no,PDF,PDF,
Scienza & Politica. Per una storia delle dottrine,https://scienzaepolitica.unibo.it/,1825-9618,sì,CC-BY,sì,PDF,PDF,
SERIES,https://series.unibo.it/,2421-454X,sì,CC-BY,sì,PDF,,
Sociologica,https://sociologica.unibo.it/,1971-8853,sì,CC-BY,sì,HTML e PDF,HTML e PDF,
STATISTICA,https://rivista-statistica.unibo.it/,1973-2201,sì,CC-BY,sì,PDF,,
Studi Tributari Europei,https://ste.unibo.it/,2036-3583,sì,CC-BY-NC,no,PDF,,
Umanistica Digitale,https://umanisticadigitale.unibo.it/,2532-8816,sì,CC-BY,sì,HTML e PDF,HTML,
University of Bologna Law Review,https://bolognalawreview.unibo.it/,2531-6133,sì,CC-BY,sì,PDF,PDF,
USAbroad – Journal of American History and Politics,https://usabroad.unibo.it/,2611-2752,sì,CC-BY,sì,HTML e PDF,HTML e PDF,
ZoneModa Journal,https://zmj.unibo.it/,2611-0563,sì,CC-BY,sì,HTML e PDF,HTML e PDF,